# label=Hugo-Hexapod-v0|bumps|amp30mm|v0.3,dt=0.02,num_envs=16,steps=4500
t,env_id,z_world,z_rel,ground_z,tilt_deg,roll_deg,pitch_deg,wx,wy,vz_w,vx_b,cmd_vx,ep_step
0.0,0,0.9784846305847168,1.0071121454238892,-0.028627542778849602,2.921947956085205,-1.0554279088974,2.7248339653015137,-0.1460561454296112,-0.26911699771881104,-0.1451975405216217,0.489860862493515,0.30000001192092896,101.0
0.0,1,0.9837055206298828,1.0059419870376587,-0.022236494347453117,2.8599228858947754,-0.7084016799926758,2.770901679992676,0.0969650000333786,-0.011995051987469196,0.09044873714447021,0.3061875104904175,0.30000001192092896,101.0
0.0,2,0.9881570339202881,1.0176650285720825,-0.029508022591471672,5.483086109161377,-1.7475401163101196,5.197949409484863,-0.06688898801803589,-0.2192377746105194,-0.004128448199480772,0.3877788186073303,0.30000001192092896,101.0
0.0,3,0.963204562664032,0.980499804019928,-0.017295269295573235,3.0978775024414062,-0.8821440935134888,2.9697394371032715,-0.09119485318660736,0.03304591029882431,0.05710010603070259,0.38190212845802307,0.30000001192092896,101.0
0.0,4,1.0047862529754639,1.0321028232574463,-0.02731659822165966,4.134554386138916,-1.9722455739974976,3.6345508098602295,-0.266824871301651,0.29820477962493896,-0.22427105903625488,0.4965360462665558,0.30000001192092896,101.0
0.0,5,0.9768779277801514,0.992607831954956,-0.015729932114481926,3.64309024810791,-1.0547951459884644,3.4872732162475586,-0.07754164189100266,-0.023670924827456474,0.04584861546754837,0.3827442526817322,0.30000001192092896,101.0
0.0,6,0.9833271503448486,1.0054069757461548,-0.02207985334098339,4.488513469696045,-2.9200093746185303,3.4103124141693115,-0.11353044211864471,-0.27489691972732544,-0.10779232531785965,0.42315536737442017,0.30000001192092896,101.0
0.0,7,0.9784983396530151,1.0025372505187988,-0.02403893880546093,3.634211301803589,-2.3221933841705322,2.796266555786133,-0.011320266872644424,-0.1336381733417511,0.05859041213989258,0.3277740180492401,0.30000001192092896,101.0
0.0,8,1.0259861946105957,1.0446687936782837,-0.018682627007365227,4.304251194000244,-1.578923225402832,4.0046796798706055,0.017222290858626366,-0.04766096547245979,-0.015058336779475212,0.012994060292840004,0.30000001192092896,101.0
0.0,9,1.0064860582351685,1.0300594568252563,-0.02357342652976513,0.6071627736091614,0.6061738729476929,-0.03251974657177925,-0.19396857917308807,0.3683875799179077,-0.04443706199526787,0.4446794390678406,0.30000001192092896,101.0
0.0,10,0.9863235950469971,1.0099927186965942,-0.023669151589274406,3.392864227294922,-0.7346439957618713,3.3124547004699707,0.08786983788013458,-0.015208997763693333,0.10838965326547623,0.35351526737213135,0.30000001192092896,101.0
0.0,11,1.005746603012085,1.0389328002929688,-0.03318622708320618,6.0306220054626465,-3.4263527393341064,4.9656901359558105,-0.07339496910572052,0.19527371227741241,-0.18118855357170105,0.32884934544563293,0.30000001192092896,101.0
0.0,12,1.0177372694015503,1.0489450693130493,-0.031207827851176262,2.7850911617279053,-0.9237188696861267,2.6275644302368164,-0.005969197954982519,-0.24070575833320618,0.05402729660272598,0.2501632869243622,0.30000001192092896,101.0
0.0,13,1.0063966512680054,1.0392022132873535,-0.03280559182167053,1.0300263166427612,0.7929180860519409,-0.657530665397644,-0.11053889989852905,0.29930344223976135,-0.04820622503757477,0.4213235080242157,0.30000001192092896,101.0
0.0,14,0.9702579975128174,1.00299870967865,-0.03274074196815491,3.383213996887207,-2.7389488220214844,1.986747145652771,-0.044696882367134094,-0.07430800795555115,0.07697565108537674,0.3324335515499115,0.30000001192092896,101.0
