# label=Hugo-Hexapod-v0|flat|amp30mm|v0.3,dt=0.02,num_envs=16,steps=4500
t,env_id,z_world,z_rel,ground_z,tilt_deg,roll_deg,pitch_deg,wx,wy,vz_w,vx_b,cmd_vx,ep_step
0.0,0,1.0101802349090576,1.0101802349090576,1.0188828669654981e-09,4.91765022277832,4.076744079589844,2.752481460571289,0.27346354722976685,0.15515951812267303,0.03179681673645973,0.35941481590270996,0.30000001192092896,101.0
0.0,1,1.0069241523742676,1.0069241523742676,-1.0188828669654981e-09,4.294456958770752,3.5915210247039795,2.356005907058716,0.23086488246917725,0.14826184511184692,0.005123895592987537,0.3478143811225891,0.30000001192092896,101.0
0.0,2,1.0138037204742432,1.0138037204742432,2.0377657339309962e-09,6.0397491455078125,4.714756965637207,3.779120683670044,0.13595692813396454,-0.024821611121296883,0.008806074969470501,0.3078034818172455,0.30000001192092896,101.0
0.0,3,1.0104823112487793,1.0104823112487793,-4.0755314678619925e-09,5.934716701507568,4.835132598876953,3.445376396179199,0.28936147689819336,0.2488182932138443,0.012258104048669338,0.37512338161468506,0.30000001192092896,101.0
0.0,4,1.0107672214508057,1.0107672214508057,-5.094414223805188e-09,5.419926643371582,4.423213481903076,3.135308265686035,0.23764604330062866,0.2478743940591812,0.003968855831772089,0.35896676778793335,0.30000001192092896,101.0
0.0,5,1.0078703165054321,1.0078703165054321,-2.0377657339309962e-09,5.011531352996826,4.135653018951416,2.8330094814300537,0.27216026186943054,0.2127729058265686,0.013204125687479973,0.36560285091400146,0.30000001192092896,101.0
0.0,6,1.007779836654663,1.007779836654663,-3.056648489874192e-09,5.2736968994140625,4.444599628448486,2.8413989543914795,0.27181050181388855,0.25706225633621216,-0.0022519025951623917,0.36783501505851746,0.30000001192092896,101.0
0.0,7,1.012091040611267,1.012091040611267,1.0188828669654981e-09,5.461061000823975,4.288812637329102,3.3838841915130615,0.3032737374305725,0.20266534388065338,0.0245781522244215,0.37650203704833984,0.30000001192092896,101.0
0.0,8,1.0241519212722778,1.0241519212722778,-3.056648489874192e-09,2.8003711700439453,-0.8610644340515137,2.6648285388946533,-0.10103791207075119,0.005410784389823675,0.04297727718949318,0.32442599534988403,0.30000001192092896,101.0
0.0,9,1.0106890201568604,1.0106890201568604,-3.056648489874192e-09,4.925491809844971,4.019632339477539,2.8489160537719727,0.2375083565711975,0.2278941422700882,0.00947584118694067,0.3524251878261566,0.30000001192092896,101.0
0.0,10,1.0090627670288086,1.0090627670288086,-3.056648489874192e-09,5.807448387145996,4.7238054275512695,3.3820018768310547,0.2794116139411926,0.31490060687065125,-0.005536056123673916,0.36939212679862976,0.30000001192092896,101.0
