_name,_win,z_sigma_total_mm,z_sigma_slow_mm,z_sigma_gait_mm,z_slow_share_pct,z_p95_mm,z_within_5mm_pct,z_within_10mm_pct,z_within_15mm_pct,z_within_20mm_pct,z_within_30mm_pct,zrel_sigma_total_mm,zrel_sigma_gait_mm,tilt_p95_deg,tilt_median_deg,tilt_rms_deg,roll_rms_deg,pitch_rms_deg,angvel_xy_rms,angvel_xy_p95,vz_rms,vx_mean,vx_std,vx_bias,vx_mae,terrain_sigma_mm,terrain_p2p_mm
Go2 flat,0:1,26.22895981170776,23.34306251597835,11.960759389742256,79.20517008694658,55.310462613900505,8.333333333333332,21.833333333333332,35.333333333333336,58.333333333333336,82.5,26.22895981170776,11.960759389742256,14.34226098060608,4.424074411392212,6.932612899103408,5.596258670213969,4.104617701477794,0.5298844634834546,0.960577097100681,0.0928856069018603,0.24784131142000357,0.045268905931675714,-0.05215870050092536,0.05772158153355119,0.0,0.0
Go2 flat,0:2,23.475323491407,20.192418695730918,11.973180038841056,73.98667572495262,54.04095580180492,9.166666666666666,23.333333333333332,47.833333333333336,67.5,85.16666666666667,23.475323491407,11.973180038841056,12.880969190597527,4.432239055633545,6.3193958823445024,5.430509498026438,3.242264679924352,0.4619878958555837,0.8777459667261279,0.08626470353804085,0.25343370728194714,0.04439611709544959,-0.046566304638981794,0.053558846885959285,0.0,0.0
Go2 flat,0:3,21.295892659259987,19.131588480597596,9.354002692098653,80.70684368875365,47.41676062345506,14.166666666666666,29.666666666666668,50.16666666666667,77.16666666666666,89.16666666666667,21.295892659259987,9.354002692098653,12.918329238891596,4.91032862663269,6.733589832391042,6.128785855194319,2.7972501534591134,0.4153007628032697,0.7526466669256094,0.07900040786527658,0.24943670796851317,0.04226346078524524,-0.05056330395241576,0.05475978406767048,0.0,0.0
Go2 flat,1:1,18.753616359179965,15.211858169865714,10.968021588563367,65.79524072300896,39.74301616350809,14.000000000000002,31.666666666666664,58.666666666666664,82.16666666666667,91.33333333333333,18.753616359179965,10.968021588563367,12.114530754089351,4.590965509414673,6.1850295798238495,5.689809443441119,2.431759683571104,0.3832143533364133,0.7481200554106718,0.07668175154088018,0.2520862370481094,0.03893492959661363,-0.04791377487281956,0.05227211457987624,0.0,0.0
Go2 flat,1:2,21.329972005157824,18.702200060480514,10.256481786586432,76.8784866901067,44.47671085596087,10.833333333333334,26.166666666666664,53.0,74.83333333333333,86.33333333333333,21.329972005157824,10.256481786586432,12.123790264129637,4.879835367202759,6.326021345775701,5.574078513622499,3.0009592570655377,0.46530336100574754,0.8598510005947095,0.09332057821836316,0.25016417575379213,0.04168564219916445,-0.049835836167136806,0.05511121429502962,0.0,0.0
Go2 flat,1:3,11.616564821929922,7.111402251628317,9.185452426398795,37.47615697922995,24.918009390433625,31.333333333333336,61.0,82.66666666666667,90.66666666666666,99.16666666666667,11.616564821929922,9.185452426398795,8.30760235786438,4.143772840499878,4.922721548971295,4.225847138411947,2.52679971214239,0.40732731122328447,0.7622491740530598,0.06926452971563478,0.2520166156192621,0.03221895437602144,-0.04798339630166687,0.05238909686605133,0.0,0.0
Go2 flat,2:1,17.58548055771128,13.691954573931643,11.0353752265627,60.62090529059598,40.841336995363285,19.833333333333332,41.66666666666667,68.16666666666666,83.66666666666667,91.66666666666666,17.58548055771128,11.0353752265627,11.754356145858763,4.54061484336853,6.3062710667644,5.1437274276669935,3.65320424180139,0.4945372866772368,0.9041108351431026,0.08699931684187667,0.25734061817328135,0.04646412302032672,-0.04265939374764758,0.05466270009676613,0.0,0.0
Go2 flat,2:2,18.273808445006257,14.090301111162137,11.635956758323102,59.45418251685183,42.94340521097188,19.666666666666664,41.66666666666667,69.0,84.0,89.83333333333333,18.273808445006257,11.635956758323102,12.212372446060169,3.5373694896698,5.825390659846767,5.216664815866931,2.6009367195120707,0.45508465014683464,0.863836657921985,0.08230533585850927,0.25195098695655666,0.03948501911956729,-0.04804902496437229,0.054105145658055916,0.0,0.0
Go2 flat,2:3,14.533024599093332,11.984077417572024,8.221355876465397,67.9981652430646,37.78925110896428,24.833333333333332,67.33333333333333,84.66666666666667,88.33333333333333,91.66666666666666,14.533024599093332,8.221355876465397,10.01315193176269,4.671622037887573,5.312815076947723,4.602395003187172,2.6589171272295955,0.39539118282554403,0.7418082451359546,0.06555755631237775,0.26371133101483185,0.03291764533796818,-0.03628868090609707,0.04083644616107144,0.0,0.0
Go2 flat,3:1,24.053427501906945,21.426854873575962,10.929650717941882,79.3529206687527,49.49026669065155,9.5,20.666666666666668,34.166666666666664,53.333333333333336,83.83333333333334,24.053427501906945,10.929650717941882,13.140805053710938,5.344661235809326,7.055797138758594,5.95457830104375,3.794351332584738,0.46814643197116795,0.8450705534550015,0.08416630150535458,0.2466349826256434,0.047625676397084996,-0.05336502929528552,0.06074790557225543,0.0,0.0
Go2 flat,3:2,18.923150646163588,14.636267829781552,11.994385953115865,59.823773369325835,42.26360340913136,16.5,38.166666666666664,60.5,83.5,89.5,18.923150646163588,11.994385953115865,11.984230136871327,3.8280141353607178,5.766491785775264,5.1837477858310415,2.5332150425647426,0.4077371679893155,0.7868498374981877,0.08541571409748124,0.24526852689683437,0.03702319167753259,-0.054731485024094556,0.058290042653679826,0.0,0.0
Go2 flat,3:3,25.99154530603646,23.486591699209843,11.13285398046491,81.65368592886088,60.81172118584318,13.166666666666666,29.666666666666668,48.0,68.66666666666667,85.66666666666667,25.99154530603646,11.13285398046491,13.776986837387076,3.8061625957489014,6.5294340255977925,5.069302920312611,4.128055620611179,0.46070857896513706,0.9095853678080431,0.08593071077601284,0.2502063821380337,0.047295121379883606,-0.04979362978289523,0.05897287541379529,0.0,0.0
Go2 flat,4:1,17.894054899584297,12.5920295284196,12.713693133969604,49.51923604376467,36.06307138999303,14.499999999999998,37.166666666666664,57.333333333333336,76.83333333333333,91.66666666666666,17.894054899584297,12.713693133969604,11.924844980239866,4.815359354019165,6.32336341392843,5.620825427488463,2.9029900353230067,0.45148226917812617,0.8725480351612207,0.0877772962896792,0.23887367984900873,0.04545254163224915,-0.06112633207192021,0.06447102883209782,0.0,0.0
Go2 flat,4:2,22.073903081401195,18.89936764028338,11.404871767999088,73.3054533048709,52.91048904259999,19.666666666666664,34.5,55.666666666666664,74.16666666666667,86.66666666666667,22.073903081401195,11.404871767999088,12.341740655899047,4.558767795562744,6.16817598293296,5.366725747674511,3.050182794395891,0.43111197640036325,0.8717294215626059,0.0832436328335189,0.25440147730211415,0.042791307607323074,-0.04559853461881476,0.052513703778386094,0.0,0.0
Go2 flat,4:3,33.11015066510065,31.2800826249715,10.855344676269914,89.25107775582447,75.61168084541953,7.166666666666667,17.166666666666668,33.33333333333333,57.49999999999999,84.66666666666667,33.11015066510065,10.855344676269914,20.210732841491645,4.960844278335571,10.383044683358234,9.625888459755057,4.0077793841189475,0.7620784249745252,1.5117167337794206,0.11653202304845409,0.24422508200009663,0.0927407177862354,-0.05577492992083229,0.0644361764192581,0.0,0.0
Go2 flat,5:1,15.61160719235658,12.597227725137145,9.221286936728285,65.11105465058266,35.26704361041383,23.666666666666668,49.0,76.66666666666667,88.0,93.33333333333333,15.61160719235658,9.221286936728285,10.171871423721308,3.799574136734009,5.403971390132676,4.847656208471999,2.3932415123245403,0.4205454412642529,0.7963787964315006,0.07858620918950242,0.24985797094802062,0.03659398348292251,-0.050142040972908315,0.05578399521609145,0.0,0.0
Go2 flat,5:2,19.953114237443348,16.250426050112907,11.578014551825209,66.32971409777497,49.05776972572015,18.5,39.666666666666664,73.16666666666667,87.83333333333333,89.66666666666666,19.953114237443348,11.578014551825209,12.21932291984558,4.377097129821777,6.032558563672777,5.20948071309934,3.0505069309541417,0.46279420143960537,0.8333915306055186,0.07098389200037816,0.2546192203089595,0.04069690113725,-0.045380791611969444,0.051031348792215166,0.0,0.0
Go2 flat,5:3,26.36563978680805,24.101819992543376,10.688743350588597,83.56473655729368,60.30608634154002,9.666666666666666,21.666666666666668,37.0,62.16666666666667,84.66666666666667,26.36563978680805,10.688743350588597,14.208980655670164,4.039765357971191,6.6811198714712985,5.526207221386901,3.768715307417182,0.46681680814592996,0.8761099917405091,0.08227179982749519,0.24757094865043958,0.04594556040046607,-0.05242906327048935,0.06001924072702723,0.0,0.0
Go2 flat,6:1,29.74387109486398,26.606719125754424,13.295877747298176,80.01799580131134,58.54984355469542,11.333333333333332,22.333333333333332,36.666666666666664,53.666666666666664,85.5,29.74387109486398,13.295877747298176,43.26258468627926,4.357726573944092,15.810955928384901,14.93500238974273,5.499759746422472,0.8945154844090125,1.9422468900128056,0.11265606664905867,0.2174643093595902,0.13818379639102063,-0.08253570256133873,0.0937998562802871,0.0,0.0
Go2 flat,6:2,25.643302850353436,21.88659202316931,13.362487443821463,72.84644494043886,52.786065563559575,11.166666666666666,21.666666666666668,36.666666666666664,51.33333333333333,83.66666666666667,25.643302850353436,13.362487443821463,14.120304489135739,4.914297580718994,7.829427529767377,5.885021672059751,5.171210655468777,0.5280684494592205,1.0998541174439036,0.10122192169799896,0.24592876754701137,0.06300527768490587,-0.054071244373917554,0.06514057812591391,0.0,0.0
Go2 flat,6:3,21.05689128675659,19.608047552525296,7.675750246079687,86.71219762108628,61.94709181785574,17.333333333333336,47.16666666666667,78.66666666666666,90.5,91.83333333333333,21.05689128675659,7.675750246079687,11.823513603210435,4.157628536224365,5.4453553764992355,4.346517406695664,3.288768696116816,0.416202704151085,0.7073214658073175,0.06514006834923494,0.2560984897861878,0.042826974927586914,-0.043901522134741126,0.04865383910636105,0.0,0.0
Go2 flat,7:1,22.55367981924873,18.207086595057486,13.31053985040673,65.16975586695924,51.4433108270168,7.833333333333334,26.5,46.166666666666664,76.0,85.83333333333333,22.55367981924873,13.31053985040673,14.268605327606199,4.2354347705841064,6.718245654036012,5.882149788037073,3.257380763488344,0.4749722309174503,0.8854307322968346,0.08576589590938796,0.24540853624542555,0.04151959242867235,-0.05459147567550339,0.059608694066603955,0.0,0.0
Go2 flat,7:2,22.652730675056187,19.66913613081887,11.237049919972208,75.39272644473952,47.41972376902903,11.0,27.166666666666668,46.5,66.5,84.16666666666667,22.652730675056187,11.237049919972208,13.276168584823594,4.449926376342773,6.745879687524958,5.76619565060719,3.5108602456194924,0.49007379243946253,0.9105932153639709,0.09160630427971854,0.24593677142014106,0.04391961443180895,-0.05406324050078787,0.05866340856999157,0.0,0.0
Go2 flat,7:3,23.882129720604716,21.43813466221364,10.524376570447549,80.58011506947986,44.85688144961989,7.333333333333333,18.166666666666668,35.5,52.83333333333333,83.5,23.882129720604716,10.524376570447549,12.254093313217155,4.860273838043213,6.628991188906868,5.777935309412448,3.2586399114312865,0.4356125578912436,0.8205139436402568,0.08643914840091205,0.24707561555008092,0.042655883052052083,-0.052924396370848,0.05746290184557436,0.0,0.0
Go2 flat,8:1,16.318387604431344,12.753217178816179,10.180629921493392,61.07803013302563,32.37590625882149,18.666666666666668,41.0,68.0,84.83333333333334,93.0,16.318387604431344,10.180629921493392,10.916007661819455,3.939346671104431,5.414810739256762,4.637551857550357,2.8004956310005493,0.4231305178971097,0.7805747733703446,0.0802442828452825,0.25296396046876907,0.03834149049210711,-0.04703605145215986,0.053100672662258125,0.0,0.0
Go2 flat,8:2,18.762550027371052,16.033552901923255,9.744663404696437,73.02571395558253,48.167964766422884,17.833333333333336,50.83333333333333,84.16666666666667,88.33333333333333,90.33333333333333,18.762550027371052,9.744663404696437,11.385601568222041,4.301975250244141,5.539087476026946,4.89410304205112,2.6011464923586503,0.4012006739534425,0.7660784336714856,0.07328853254692932,0.2577144059290489,0.03732048869839702,-0.042285605991880075,0.0472170883665482,0.0,0.0
Go2 flat,8:3,24.678992340438917,21.565773976882337,11.998752256691835,76.36164087640117,49.41640843947721,12.0,23.666666666666668,40.0,56.666666666666664,86.0,24.678992340438917,11.998752256691835,14.133110952377317,5.412492513656616,7.102982838207227,5.5802334285416,4.408058749178598,0.5242663115172855,1.0458422985244546,0.09135625997130149,0.25718801443775496,0.04986382980424546,-0.042811997483173984,0.05617788250247635,0.0,0.0
Go2 flat,9:1,23.232308296420484,20.490293368999986,10.949339086549626,77.78782499259175,43.77993022402125,8.0,20.666666666666668,36.0,55.666666666666664,86.33333333333333,23.232308296420484,10.949339086549626,13.908569574356074,4.573542833328247,7.241615929903729,6.369675341270113,3.4560400881783666,0.5006335861773886,0.8790373233832013,0.0869963976221582,0.2447392808397611,0.045740879915499064,-0.05526073108116783,0.060191615621248855,0.0,0.0
Go2 flat,9:2,20.339729839671502,16.367512380286573,12.075145896923527,64.75525171224916,43.806822250286714,15.0,32.5,52.0,73.83333333333333,87.0,20.339729839671502,12.075145896923527,11.582432794570922,4.442015647888184,5.979017838621778,5.0767043028481815,3.16478022273137,0.43460833830782053,0.7902373577664732,0.08271219311339359,0.2515179946025213,0.03967435287815537,-0.04848201731840767,0.05403116335471469,0.0,0.0
Go2 flat,9:3,17.945974883128635,15.097699649707153,9.701416380772267,70.77623423297949,41.919520050287225,19.166666666666668,42.66666666666667,69.83333333333334,89.33333333333333,92.33333333333333,17.945974883128635,9.701416380772267,11.146286058425899,3.934267282485962,5.485079519857583,4.040721366483456,3.7137199333094197,0.428926675237642,0.7825669907147498,0.07789048921175733,0.24833174782494705,0.04042304978490451,-0.051668264095981895,0.05872130515674748,0.0,0.0
