# label=Isaac-Velocity-Rough-Unitree-Go2-v0|bumps|amp30mm|v0.3,dt=0.02,num_envs=16,steps=4500
t,env_id,z_world,z_rel,ground_z,tilt_deg,roll_deg,pitch_deg,wx,wy,vz_w,vx_b,cmd_vx,ep_step
0.0,0,0.3139239251613617,0.35341107845306396,-0.03948715329170227,2.3341422080993652,-1.698311448097229,1.6015177965164185,0.20137153565883636,-0.2417788803577423,0.02735953964293003,0.36405572295188904,0.30000001192092896,101.0
0.0,1,0.3071519136428833,0.33637943863868713,-0.029227523133158684,2.457502603530884,-1.713039755821228,1.762298822402954,-0.07600069046020508,-0.48684456944465637,0.05500108003616333,0.3036859929561615,0.30000001192092896,101.0
0.0,2,0.3201507031917572,0.3486076593399048,-0.028456954285502434,4.547948837280273,-1.8773586750030518,-4.1431403160095215,-0.09874768555164337,-0.1280813068151474,0.07263945788145065,0.24692261219024658,0.30000001192092896,101.0
0.0,3,0.31826046109199524,0.3491550087928772,-0.03089454583823681,3.9895360469818115,-3.454256772994995,-1.9973033666610718,-0.08615222573280334,0.024146221578121185,0.00833441037684679,0.2684347927570343,0.30000001192092896,101.0
0.0,4,0.3230377733707428,0.363339364528656,-0.04030159115791321,5.002923488616943,-4.752557277679443,-1.5646718740463257,0.13911893963813782,-0.20702287554740906,0.019601812586188316,0.2664865553379059,0.30000001192092896,101.0
0.0,5,0.3049953877925873,0.33326923847198486,-0.028273848816752434,4.739996910095215,-0.8415876626968384,4.664872646331787,0.02555740438401699,-0.44317489862442017,0.060545820742845535,0.3114140033721924,0.30000001192092896,101.0
0.0,6,0.31808438897132874,0.33798879384994507,-0.019904403015971184,5.112857818603516,-4.94428825378418,-1.3037139177322388,-0.11938495934009552,0.27052634954452515,-0.03012945130467415,0.19884462654590607,0.30000001192092896,101.0
0.0,7,0.3106120824813843,0.3411060869693756,-0.030494002625346184,4.178279876708984,-4.157766819000244,-0.41402938961982727,0.028293371200561523,-0.8633580207824707,0.0552830845117569,0.265545517206192,0.30000001192092896,101.0
0.0,8,0.32370033860206604,0.3558594584465027,-0.032159119844436646,7.456325531005859,-5.914524555206299,-4.548510551452637,-0.2432011067867279,0.030915020033717155,0.011046784929931164,0.17989690601825714,0.30000001192092896,101.0
0.0,9,0.2889770567417145,0.3218647837638855,-0.03288772702217102,3.8845369815826416,-2.790360927581787,2.703542709350586,-0.10368946194648743,-0.4473549425601959,0.005330653861165047,0.2700771987438202,0.30000001192092896,101.0
