,Go2 flat,Go2 bumps,Hugo flat,Hugo bumps
수직변동 RMS [mm],9.71105278230922,6.628330351010463,14.897943020168158,7.813542091903437
수직변동 P2P [mm],48.78268075361848,40.42821615561843,130.25060210286117,50.21359116942794
수직변동 RMS [체고%],2.610498059760543,1.7818092341425977,1.4188517162064913,0.7441468658955654
z 원시 표준편차 [mm],21.04791022052214,12.342733156014635,20.97937928795516,15.11862047919152
틸트각 RMS [deg],6.453099162478132,5.099758449697899,4.342509172321021,4.574562938892308
틸트각 P95 [deg],12.35060245335102,8.70267275691032,7.775968538261036,7.829634089087261
틸트각 최대 [deg],18.065250873565674,12.976208961009979,14.505868763458437,10.856610339364888
roll RMS [deg],5.529667044694788,3.877982064688274,3.193613191051532,3.7637362548152296
pitch RMS [deg],3.2902457532173672,3.282740137031138,2.7225765793055947,2.402288082228189
각속도 xy RMS [rad/s],0.45982382749873424,0.43593866380947066,0.302716355898611,0.2215122531232998
평균 전진속도 [m/s],0.24874020077325393,0.24881481599828686,0.271147728631952,0.18461009364771455
속도 추종오차 [m/s],0.05692323371507864,0.05601221106177674,0.04197225912055705,0.12355398897479242
★지형 높이 표준편차 [mm],3.724027691681043e-05,0.9634287390008577,2.6621733338217027e-06,0.9035167974872501
★지형 높이 범위 [mm],0.00030713922485325895,3.9562886347994195,2.3484007053350218e-05,4.125032251999697
"지형 추종 계수 (0=수평유지, 1=추종)",,0.9664989556573659,,1.4033858227166256
env당 측정시간 [s],76.99999999999835,76.99999999999835,76.39124999999837,75.44749999999839
env 수,16.0,16.0,16.0,16.0
유효 구간 수,80.0,80.0,82.0,81.0
