,Go2 flat,Go2 bumps,Hugo flat,Hugo bumps
수직변동 RMS [mm],9.71105278230922,6.628330351010463,13.850756894202426,10.75897037371162
수직변동 P2P [mm],48.78268075361848,40.42821615561843,128.97806809272296,61.470198556780815
수직변동 RMS [체고%],2.610498059760543,1.7818092341425977,1.3191197042097549,1.0246638451153924
z 원시 표준편차 [mm],21.04791022052214,12.342733156014635,19.328996535478,15.503461060311372
틸트각 RMS [deg],6.453099162478132,5.099758449697899,4.237288844466265,4.466939692461505
틸트각 P95 [deg],12.35060245335102,8.70267275691032,7.552534064540153,7.014434727132318
틸트각 최대 [deg],18.065250873565674,12.976208961009979,14.546380234353336,9.222184175252915
roll RMS [deg],5.529667044694788,3.877982064688274,3.0404572445629148,2.4461125284522667
pitch RMS [deg],3.2902457532173672,3.282740137031138,2.6832731118047626,3.5540798328536383
각속도 xy RMS [rad/s],0.45982382749873424,0.43593866380947066,0.27846867434554895,0.3585920871002198
평균 전진속도 [m/s],0.24874020077325393,0.24881481599828686,0.2740469132836352,0.3127088860858495
속도 추종오차 [m/s],0.05692323371507864,0.05601221106177674,0.03759843367210198,0.08407048210447628
★지형 높이 표준편차 [mm],3.724027691681043e-05,0.9634287390008577,3.9513345434796934e-07,5.097773117210067
★지형 높이 범위 [mm],0.00030713922485325895,3.9562886347994195,1.0302037368586033e-05,26.483671716414392
"지형 추종 계수 (0=수평유지, 1=추종)",,0.9664989556573659,,-0.12282759751590314
env당 측정시간 [s],76.99999999999835,76.99999999999835,76.67249999999837,76.03749999999837
env 수,16.0,16.0,16.0,16.0
유효 구간 수,80.0,80.0,81.0,80.0
